Unnamed: 0,source_dataset,node,source_workflow,process,runtime_s,peak_mem,energy_j,rchar,cpus,concurrent_task_count,cores,ram,cpu_benchmark,io_read,io_write,task_type
7008.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,3000.0,17305600.0,377.2323,,2.0,4.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7009.0,augur_hu,hu-c42,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,3000.0,17309696.0,225.0867,,2.0,6.0,32.0,256.0,1049.8,1380.0,972.0,SAMTOOLS_INDEX
7010.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,3000.0,20217856.0,428.93825,,2.0,5.5,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7011.0,augur_hu,hu-c42,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,4000.0,21368832.0,535.2729,,2.0,5.0,32.0,256.0,1049.8,1380.0,972.0,SAMTOOLS_INDEX
7012.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,8000.0,21651456.0,1079.8849,,2.0,6.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7013.0,augur_hu,hu-c45,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,4000.0,19243008.0,553.6068,,2.0,6.0,32.0,256.0,1066.66,420.0,499.0,SAMTOOLS_INDEX
7014.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,4000.0,21819392.0,518.0873,,2.0,5.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7015.0,augur_hu,hu-c42,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,4000.0,21921792.0,483.1055,,2.0,6.0,32.0,256.0,1049.8,1380.0,972.0,SAMTOOLS_INDEX
7016.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,5000.0,21180416.0,933.6036,,2.0,6.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7017.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,5000.0,22421504.0,753.7599,,2.0,6.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7018.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,9000.0,22407168.0,1451.4074,,2.0,7.5,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7019.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,5000.0,21917696.0,749.3439,,2.0,6.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7020.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,6000.0,21235712.0,837.98235,,2.0,5.5,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7021.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,6500.0,21176320.0,971.5262,,2.0,6.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7022.0,augur_hu,hu-c45,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,6000.0,21020672.0,1416.5751,,2.0,5.0,32.0,256.0,1066.66,420.0,499.0,SAMTOOLS_INDEX
7023.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,2000.0,15142912.0,247.79025,,2.0,5.5,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7024.0,augur_hu,hu-c45,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,3000.0,20238336.0,456.6958,,2.0,4.0,32.0,256.0,1066.66,420.0,499.0,SAMTOOLS_INDEX
7025.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7500.0,21970944.0,1137.22885,,2.0,5.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7026.0,augur_hu,hu-c45,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,6000.0,21401600.0,910.6652,,2.0,6.0,32.0,256.0,1066.66,420.0,499.0,SAMTOOLS_INDEX
7027.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,20975616.0,902.3007,,2.0,6.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7028.0,augur_hu,hu-c42,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,22589440.0,860.0198,,2.0,4.0,32.0,256.0,1049.8,1380.0,972.0,SAMTOOLS_INDEX
