AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.3.521.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Sep-02-2026_01-30-25,
Profile Duration:,4000 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
135,1:32:41:372,   25.76,    1.36,    5.34,    1.00,    5.31,    3.76,    2.40
136,1:32:42:377,   26.98,    1.98,    5.08,    1.49,    5.48,    4.74,    1.87
137,1:32:43:377,   28.91,    2.29,    5.37,    1.91,    4.98,    5.41,    2.94
138,1:32:44:380,   15.07,    1.06,    2.47,    0.47,    2.98,    2.38,    0.80
139,1:32:45:388,   18.42,    1.95,    2.49,    1.69,    3.64,    2.54,    1.77
140,1:32:46:397,   26.06,    2.32,    4.16,    1.55,    5.05,    4.82,    1.41
141,1:32:47:397,   27.25,    1.70,    4.92,    2.85,    4.67,    4.95,    1.89
142,1:32:48:398,   27.57,    2.03,    4.98,    2.28,    4.82,    5.09,    2.00
143,1:32:49:398,   26.05,    2.54,    4.72,    1.80,    4.48,    4.84,    2.16
144,1:32:50:403,    7.20,    0.25,    0.52,    0.11,    2.09,    0.50,    0.15
145,1:32:51:410,   26.14,    2.62,    4.10,    2.43,    4.52,    4.35,    2.35
146,1:32:52:413,   26.67,    1.40,    5.24,    1.09,    5.72,    5.23,    1.25
147,1:32:53:416,   26.78,    2.01,    5.12,    2.09,    5.23,    4.46,    1.51
148,1:32:54:422,   28.24,    1.98,    5.19,    1.85,    5.43,    5.00,    2.62
149,1:32:55:425,   27.76,    1.52,    6.22,    0.95,    4.80,    6.24,    1.26
150,1:32:56:425,    7.24,    0.28,    0.53,    0.13,    2.22,    0.51,    0.17
151,1:32:57:432,   24.68,    2.66,    3.80,    2.29,    4.22,    3.80,    2.42
152,1:32:58:432,   26.13,    1.56,    4.96,    1.19,    5.45,    5.08,    1.49
153,1:32:59:441,   27.23,    2.30,    4.96,    1.65,    5.39,    5.05,    1.35
154,1:33:0:441,   27.32,    2.10,    4.91,    2.72,    5.29,    4.52,    1.50
155,1:33:1:442,   25.64,    0.83,    6.05,    0.58,    4.67,    6.19,    0.59
156,1:33:2:442,   15.72,    1.25,    2.45,    0.75,    3.13,    2.46,    1.04
157,1:33:3:442,   14.92,    1.38,    1.96,    1.14,    2.98,    1.99,    1.17
158,1:33:4:449,   25.57,    2.41,    4.22,    1.71,    4.83,    4.48,    1.83
159,1:33:5:452,   26.35,    1.40,    4.57,    2.09,    5.34,    5.32,    1.17
160,1:33:6:451,   27.34,    1.61,    5.07,    1.84,    5.23,    5.05,    2.10
161,1:33:7:456,   27.24,    1.88,    5.41,    1.39,    5.11,    5.35,    1.63
162,1:33:8:461,   22.89,    1.56,    4.70,    0.77,    4.11,    4.85,    1.10
163,1:33:9:466,    8.43,    0.38,    0.78,    0.27,    2.38,    0.68,    0.34
164,1:33:10:469,   26.83,    2.63,    4.60,    2.22,    4.78,    4.32,    2.59
165,1:33:11:470,   26.46,    1.32,    4.45,    2.01,    5.05,    5.11,    1.99
166,1:33:12:469,   27.15,    1.38,    5.11,    1.88,    5.41,    5.12,    1.76
168,1:33:14:475,   25.41,    1.87,    5.22,    3.30,    4.04,    5.26,    1.42
169,1:33:15:481,    7.85,    0.29,    5.30,    0.93,    4.29,    5.12,    0.18
170,1:33:16:487,   27.55,    3.22,    0.58,    0.16,    2.29,    0.63,    3.01
171,1:33:17:490,   25.75,    2.91,    4.51,    3.06,    4.43,    4.49,    2.80
172,1:33:18:498,   28.46,    3.25,    4.10,    2.34,    4.52,    3.95,    3.48
173,1:33:19:500,   27.37,    3.13,    4.45,    3.38,    3.93,    4.60,    2.98
174,1:33:20:509,   27.15,    2.98,    4.40,    2.66,    4.27,    4.57,    2.82
