AMDPROFILER POWER PROFILE REPORT,,,,,,,,,,
,,,,,,,,,,
AMDuProfCLI.exe Version 5.3.521.0,,,,,,,,,,
,,,,,,,,,,
LAUNCHED APPLICATION DETAILS,,,,,,,,,,
Target Path:,C:\Windows\System32\cmd.exe,,,,,,,,,
Command Line Arguments:,/c timeout 3600 ,,,,,,,,,
Working Directory:,C:\Program Files\AMD\AMDuProf\bin,,,,,,,,,
CPU Core Affinity Mask:,,,,,,,,,,
,,,,,,,,,,
PROFILE DETAILS,,,,,,,,,,
CPU Details:,Family(0x17) Model(0x60),,,,,,,,,
Sampling Interval:,1000 milli-seconds,,,,,,,,,
Profile Start Time:,Jul-26-2026_15-49-32,,,,,,,,,
,,,,,,,,,,
PROFILED COUNTERS,,,,,,,,,,
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION,,,,,,
48,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.,,,,,,
50,core0-power,Power,W,Core0-Average Power reported in Watts.,,,,,,
52,core1-power,Power,W,Core1-Average Power reported in Watts.,,,,,,
54,core2-power,Power,W,Core2-Average Power reported in Watts.,,,,,,
56,core3-power,Power,W,Core3-Average Power reported in Watts.,,,,,,
58,core4-power,Power,W,Core4-Average Power reported in Watts.,,,,,,
60,core5-power,Power,W,Core5-Average Power reported in Watts.,,,,,,
62,core6-power,Power,W,Core6-Average Power reported in Watts.,,,,,,
64,core7-power,Power,W,Core7-Average Power reported in Watts.,,,,,,
,,,,,,,,,,
PROFILE RECORDS,,,,,,,,,,
193,15:52:46:473,30.09,2.99,3.62,3.48,3.44,2.91,3.75,3.11,2.51
194,15:52:47:475,29.62,3.03,4.14,4.09,2.98,2.69,3.61,2.61,1.99
195,15:52:48:478,29.46,3.19,3.77,2.97,3.19,3.1,3.19,2.7,2.46
196,15:52:49:483,29.21,3.37,3.49,3.46,3.56,2.64,2.8,2.52,2.57
197,15:52:50:487,29.21,2.94,3.84,3.47,3.55,2.88,2.92,2.33,2.24
198,15:52:51:489,29.88,3.74,3.87,3.99,3.45,2.55,2.47,2.53,2.48
199,15:52:52:495,29.47,3.12,3.44,3.25,3.28,3.43,2.75,2.65,2.89
200,15:52:53:502,28.79,3.53,3.52,3.68,2.76,2.88,2.37,2.39,2.36
201,15:52:54:507,29.68,4.13,4.14,3.61,3.5,2.46,2.63,2.39,2.35
202,15:52:55:510,26.36,2.87,2.77,4.57,2.41,1.76,1.92,2.11,1.92
203,15:52:56:513,27.17,2.78,3.38,4.07,3.3,2.28,1.96,2.2,2.1
204,15:52:57:520,32.28,4.12,3.27,2.98,4.44,3.61,3.03,2.61,3.61
205,15:52:58:525,26.62,2.65,5.43,3.12,2.24,1.87,1.67,2.05,2.05
206,15:52:59:525,29.67,2.81,3.53,3.64,4.65,2.4,2.47,2.85,2.44
207,15:53:0:529,19.88,0.82,1.12,4.58,2.48,2.41,0.46,0.46,0.78
208,15:53:1:537,24.97,1.73,1.32,3.13,4.27,2.22,1.7,3.41,1.65
209,15:53:2:541,29.73,2.62,2.85,3.09,2.51,3.46,3.26,3.98,3.28
210,15:53:3:551,35.32,3.53,4.75,3.68,4.59,4.47,3.99,3.51,3.01
211,15:53:4:552,30.86,3.63,4.93,3.87,3.43,2.69,2.97,2.15,2.52
212,15:53:5:554,27.62,2.61,2.17,2.1,4.12,2.53,3.29,2.38,3.13
213,15:53:6:558,25.7,2.56,4.49,1.58,2.02,2.33,3.27,1.8,2.07
214,15:53:7:560,29.88,3.53,3.52,3.54,2.95,2.9,3.48,3.03,2.28
215,15:53:8:567,32.36,3.73,4.09,3.79,3.78,3.37,3.4,3.13,3.08
216,15:53:9:570,27.46,3.31,2.61,2.45,4.67,2.81,2.27,2.11,1.95
217,15:53:10:572,31.65,3.17,4.4,4.51,3.18,2.59,3.22,2.43,3.03
218,15:53:11:573,29.6,3.33,2.83,3.15,4.16,2.73,2.93,2.83,2.37
219,15:53:12:574,28.26,3.28,2.91,2.88,3.61,3.16,2.82,2.45,2.14
220,15:53:13:580,30.52,3.49,4.04,4.11,4.69,2.65,2.47,2.6,1.89
221,15:53:14:580,26.84,2.64,2.28,1.97,1.29,2.51,4.71,2.87,2.89
222,15:53:15:588,31.14,3.12,3.22,3.85,3.64,3.68,3.23,3.02,2.89
223,15:53:16:589,29.61,3.09,3.19,3.18,3.3,3.07,3.21,2.69,2.87
224,15:53:17:591,29.74,2.61,4.04,3.55,2.64,3.19,3.07,2.76,2.72
225,15:53:18:593,29.48,2.7,3.73,3.25,3.03,3.34,3.11,2.83,2.85
226,15:53:19:601,29.45,3.18,4.23,2.85,3.07,3.26,3.03,2.44,2.54
227,15:53:20:608,29.65,3.4,3.36,2.96,3.65,2.94,3.03,2.61,2.82
228,15:53:21:608,29.51,2.94,3.26,3.48,3.03,2.71,2.7,3.24,2.67
229,15:53:22:614,29.61,2.97,3.78,2.94,2.4,3.8,2.93,2.91,2.6
230,15:53:23:618,28.78,3.25,3.51,3.41,3.45,2.61,2.48,2.49,2.41
231,15:53:24:623,29.81,3.03,3.46,3.72,3.39,2.5,3.34,2.64,2.89
232,15:53:25:623,29.48,2.94,3.34,2.94,3.82,2.85,3.05,2.69,2.8
233,15:53:26:626,29.35,3.3,3.48,3.41,2.84,3.46,3.44,2.09,2.33
234,15:53:27:629,29.74,2.89,3.42,3.88,2.87,2.84,3,2.74,3.19
235,15:53:28:632,29.19,2.71,3.57,3.18,3.48,3.36,2.95,2.65,2.4
236,15:53:29:640,28.89,2.78,3.78,2.58,4.07,3.23,2.81,1.93,2.5
237,15:53:30:642,30.53,2.55,3.94,2.81,3.61,3.16,3.06,3.49,2.88
238,15:53:31:642,29.61,3.1,3.73,3.54,3.09,2.65,3.21,2.65,2.49
239,15:53:32:648,29.42,2.83,3.89,2.94,2.81,3.41,3.01,3,2.79
240,15:53:33:650,29.56,2.52,3.03,2.91,3.28,3.15,3.52,2.98,3.8
241,15:53:34:651,28.9,2.79,4.44,2.85,2.89,2.84,3.04,2.67,2.65
242,15:53:35:657,29.4,2.9,3.41,3.18,3.85,3.5,2.44,2.53,2.39
243,15:53:36:665,21.52,6.71,1.19,1.39,0.65,2.23,0.93,0.79,0.97
244,15:53:37:668,27.96,5.64,3.38,1.97,2.26,3.6,2.32,2.21,2.26
245,15:53:38:673,28.2,2.25,2.12,2.43,2.95,2.28,6.37,2.12,2.16
246,15:53:39:680,26.73,3.94,5,2.85,2.78,1.93,1.61,1.89,1.18
247,15:53:40:681,30.15,3.15,3.55,3.41,3.36,3.66,2.71,2.62,3.03
248,15:53:41:686,34.3,3.48,3.53,4.21,4.7,3.72,3.79,3.23,3.72
249,15:53:42:694,29.07,4.56,3.12,3.23,3.78,3.29,2.65,2.18,1.78
250,15:53:43:701,26.73,3.08,2.19,3.57,3.63,2.04,2.88,2,1.98
251,15:53:44:704,22.81,1.24,1.49,1.15,3.16,1.04,5.17,2.41,0.99
252,15:53:45:710,21.3,5,2.35,0.74,1.37,0.68,0.69,1.57,2.07
253,15:53:46:717,35.45,5.85,4.29,3.98,5.25,3.96,4.82,3.38,3.35
