source_dataset,node,source_workflow,process,runtime_s,peak_mem,energy_j,rchar,cpus,concurrent_task_count,cores,ram,cpu_benchmark,io_read,io_write
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,182500.0,9928704.0,14932.27105,3485776588.5,1.0,1.5,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,150500.0,10043392.0,12148.80015,2903797122.0,1.0,1.5,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,151000.0,9846784.0,10621.5851,2903797129.0,1.0,1.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,142000.0,8822784.0,11366.0597,1833194573.0,1.0,2.0,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,144000.0,8843264.0,11995.6975,1833194585.0,1.0,1.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,143000.0,9842688.0,9476.9857,1833194614.0,1.0,2.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,137000.0,8937472.0,11173.7549,1746382750.0,1.0,1.0,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,138000.0,9928704.0,11464.277,1746382660.0,1.0,1.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,138000.0,9691136.0,9898.335,1746382724.0,1.0,1.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,7000.0,22122496.0,523.6894,552165432.0,2.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX,12000.0,21942272.0,904.8525,932779704.0,2.0,0.0,32.0,64.0,305.89,97.6,90.6
