task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model
244,-,107610,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CONSENSUS_PEAKS:DESEQ2_QC,consensus_peaks,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_CONSENSUS_PEAKS:DESEQ2_QC (consensus_peaks),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-8849acf39a43cdd6c839a369a74c0adc823e2f91:ab110436faf952a33575c64dd74615a84011450b-0,2,21600000,-,6442450944,1,1788523805321,1788523805419,1788523819123,13802,12000,-,108.5,2.2,747577344,2598346752,747577344,2598350848,71874391,248322,5666,313,66940928,331776,1129,1147,/home/ahmed/pranay/work/a5/47bdc5c2b78089b84d549b9024ba99,-,-,12th Gen Intel(R) Core(TM) i5-12400
245,-,112551,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV,OSMOTIC_STRESS_T100_SE,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV (OSMOTIC_STRESS_T100_SE),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,2,21600000,-,6442450944,1,1788523819125,1788523819223,1788523820858,1733,0,-,98.3,0.0,9633792,29782016,9633792,29782016,7943987,7095900,1227,143299,0,7114752,3,0,/home/ahmed/pranay/work/1a/fa67977fba64bf90eae68e64ed983a,-,-,12th Gen Intel(R) Core(TM) i5-12400
241,-,106185,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT,OSMOTIC_STRESS_T0_PE_REP1,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT (OSMOTIC_STRESS_T0_PE_REP1),COMPLETED,0,-,quay.io/biocontainers/deeptools:3.5.1--py_0,2,21600000,-,6442450944,1,1788523802774,1788523802872,1788523858649,55875,55000,-,182.5,0.5,178483200,591056896,207052800,624082944,230659137,49774710,47078,4960,0,15167488,465,14454,/home/ahmed/pranay/work/e8/5f4e9fc27043567c9fc5dd1e096da2,-,-,12th Gen Intel(R) Core(TM) i5-12400
240,-,105664,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT,OSMOTIC_STRESS_T0_PE_REP2,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_REFERENCE_POINT (OSMOTIC_STRESS_T0_PE_REP2),COMPLETED,0,-,quay.io/biocontainers/deeptools:3.5.1--py_0,2,21600000,-,6442450944,1,1788523802117,1788523802215,1788523859757,57640,56000,-,175.4,0.5,179998720,592023552,208732160,681889792,230789655,48915102,47110,4508,0,14307328,408,13003,/home/ahmed/pranay/work/6c/5be29ebcbbcf0082db8497db76da59,-,-,12th Gen Intel(R) Core(TM) i5-12400
248,-,118278,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV,OSMOTIC_STRESS_T0_PE,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_BAM_TO_BIGWIG:BEDTOOLS_GENOMECOV (OSMOTIC_STRESS_T0_PE),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,2,21600000,-,6442450944,1,1788523859759,1788523859858,1788523861883,2124,1000,-,99.9,0.0,9392128,29782016,9392128,29782016,12336471,6876329,1920,137961,0,6893568,3,62,/home/ahmed/pranay/work/af/356f9e06f4b2b92971b54a07520627,-,-,12th Gen Intel(R) Core(TM) i5-12400
249,-,118821,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS,OSMOTIC_STRESS_T0_PE,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CALL_ANNOTATE_PEAKS:MULTIQC_CUSTOM_PEAKS (OSMOTIC_STRESS_T0_PE),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,1,14400000,-,6442450944,1,1788523861885,1788523861983,1788523862279,394,7,-,80.0,0.0,0,0,0,0,300924,97712,323,24,0,16384,6,0,/home/ahmed/pranay/work/cb/1ceb3e5ad6eb13919160d2e7891d0e,-,-,12th Gen Intel(R) Core(TM) i5-12400
251,-,119332,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CONSENSUS_PEAKS:SUBREAD_FEATURECOUNTS,consensus_peaks,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CONSENSUS_PEAKS:SUBREAD_FEATURECOUNTS (consensus_peaks),COMPLETED,0,-,quay.io/biocontainers/subread:2.0.1--hed695b0_0,2,21600000,-,6442450944,1,1788523862281,1788523862379,1788523864000,1719,0,-,97.8,0.0,19378176,220942336,19378176,288055296,13581119,70958,2166,108,0,77824,2,21,/home/ahmed/pranay/work/cc/8cdd4ecfa76512c9198f9e06fc1cec,-,-,12th Gen Intel(R) Core(TM) i5-12400
239,-,105871,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_SCALE_REGIONS,OSMOTIC_STRESS_T0_PE_REP2,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_SCALE_REGIONS (OSMOTIC_STRESS_T0_PE_REP2),COMPLETED,0,-,quay.io/biocontainers/deeptools:3.5.1--py_0,2,21600000,-,6442450944,1,1788523802494,1788523802592,1788523867425,64931,62000,-,178.3,0.5,183844864,594268160,214118400,630800384,236963366,57246553,47275,5990,0,17014784,519,20029,/home/ahmed/pranay/work/65/c0b990f81a8a156444d9d7d2f480f1,-,-,12th Gen Intel(R) Core(TM) i5-12400
250,-,119734,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CONSENSUS_PEAKS:HOMER_ANNOTATEPEAKS,consensus_peaks,NFCORE_ATACSEQ:ATACSEQ:MERGED_REPLICATE_CONSENSUS_PEAKS:HOMER_ANNOTATEPEAKS (consensus_peaks),COMPLETED,0,-,quay.io/biocontainers/homer:4.11--pl526hc9558a2_3,2,21600000,-,6442450944,1,1788523864002,1788523864100,1788523868654,4652,3000,-,65.8,0.5,153530368,198111232,441458688,486113280,58046137,6324630,8575,1276,0,6356992,41,30,/home/ahmed/pranay/work/14/aa02f63f6737e2a39b9c724ecfe98a,-,-,12th Gen Intel(R) Core(TM) i5-12400
242,-,107086,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_SCALE_REGIONS,OSMOTIC_STRESS_T0_PE_REP1,NFCORE_ATACSEQ:ATACSEQ:MERGED_LIBRARY_BIGWIG_PLOT_DEEPTOOLS:DEEPTOOLS_COMPUTEMATRIX_SCALE_REGIONS (OSMOTIC_STRESS_T0_PE_REP1),COMPLETED,0,-,quay.io/biocontainers/deeptools:3.5.1--py_0,2,21600000,-,6442450944,1,1788523804711,1788523804809,1788523869879,65168,64000,-,184.8,0.5,184528896,594051072,217903104,630353920,236901413,58296289,47262,6369,0,18046976,503,20736,/home/ahmed/pranay/work/75/1edc39644d8ffa6be65dd7ae7a407a,-,-,12th Gen Intel(R) Core(TM) i5-12400
