AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.3.521.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Sep-02-2026_01-57-22,
Profile Duration:,4000 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
89,1:58:51:995,   17.92,    2.36,    3.44,    0.95,    0.41,    5.80,    1.36
90,1:58:52:996,   25.14,    3.01,    5.57,    1.73,    1.11,    3.37,    2.21
91,1:58:53:998,   13.88,    1.70,    2.47,    0.75,    0.67,    5.24,    1.31
92,1:58:55:001,   21.49,    2.62,    5.11,    0.92,    0.45,    2.53,    1.59
93,1:58:56:007,   22.70,    2.78,    5.45,    1.62,    0.44,    4.45,    2.23
94,1:58:57:012,   21.61,    2.52,    3.73,    1.99,    0.65,    3.92,    2.19
95,1:58:58:017,   26.47,    2.96,    4.41,    1.43,    2.76,    3.72,    2.09
96,1:58:59:025,   31.58,    4.04,    5.55,    2.17,    4.52,    4.73,    3.26
97,1:59:0:027,   20.51,    2.53,    3.30,    1.54,    4.27,    5.92,    1.87
98,1:59:1:034,   15.70,    2.02,    2.67,    1.43,    3.35,    3.45,    1.63
99,1:59:2:036,   27.46,    2.61,    4.11,    1.59,    2.03,    2.42,    2.86
100,1:59:3:044,   27.62,    3.08,    2.55,    1.18,    4.93,    5.03,    2.68
101,1:59:4:044,   30.17,    3.48,    4.48,    2.48,    5.30,    6.34,    2.73
102,1:59:5:052,   31.02,    3.92,    5.27,    2.59,    4.93,    5.21,    3.28
103,1:59:6:059,   26.26,    2.56,    5.04,    1.59,    4.69,    5.10,    2.08
104,1:59:7:059,   28.28,    3.05,    4.66,    2.50,    4.54,    4.47,    3.01
105,1:59:8:064,   28.79,    3.39,    5.29,    1.66,    4.57,    4.69,    2.89
106,1:59:9:067,   29.39,    3.60,    4.02,    2.14,    5.02,    3.86,    2.59
107,1:59:10:069,   25.47,    2.50,    4.59,    1.57,    5.17,    5.50,    2.05
108,1:59:11:072,   21.20,    2.45,    4.00,    1.30,    4.66,    4.10,    1.87
109,1:59:12:078,   25.40,    3.23,    4.48,    2.27,    0.40,    5.19,    2.73
110,1:59:13:081,   19.00,    1.94,    3.06,    1.19,    3.40,    4.30,    1.67
111,1:59:14:086,   29.76,    3.46,    5.34,    2.60,    3.25,    3.01,    3.09
112,1:59:15:090,   26.51,    3.18,    5.39,    2.19,    4.06,    4.94,    2.75
113,1:59:16:091,    7.43,    0.66,    1.46,    0.11,    3.19,    4.81,    0.21
114,1:59:17:093,   18.75,    2.35,    3.23,    1.86,    0.12,    1.46,    2.05
115,1:59:18:102,   25.83,    2.62,    4.46,    1.21,    2.66,    3.06,    1.56
116,1:59:19:105,   26.17,    3.34,    2.97,    1.35,    4.59,    4.86,    1.68
117,1:59:20:108,   27.29,    3.35,    3.73,    2.01,    4.44,    6.37,    2.30
118,1:59:21:109,   33.64,    3.67,    4.59,    3.88,    3.72,    6.02,    3.97
119,1:59:22:110,   31.17,    3.33,    5.35,    3.16,    4.06,    5.11,    3.14
120,1:59:23:113,   25.44,    2.30,    6.24,    1.44,    2.79,    5.78,    1.88
121,1:59:24:120,   14.03,    1.94,    3.29,    0.68,    0.66,    6.03,    1.06
122,1:59:25:121,   21.97,    2.64,    5.73,    0.75,    0.46,    2.57,    1.69
123,1:59:26:123,   12.68,    1.44,    2.53,    0.85,    0.31,    4.51,    1.17
124,1:59:27:128,   20.57,    2.51,    4.77,    1.17,    0.54,    1.83,    1.62
125,1:59:28:131,   30.16,    3.71,    5.85,    2.03,    0.69,    3.69,    2.62
126,1:59:29:133,   28.88,    3.33,    4.95,    2.62,    3.49,    5.54,    2.81
127,1:59:30:143,   18.73,    1.92,    3.24,    1.31,    4.78,    4.02,    1.71
128,1:59:31:145,   25.33,    2.42,    4.05,    1.26,    3.09,    2.92,    1.85
129,1:59:32:148,   28.26,    3.06,    5.11,    2.21,    4.70,    4.77,    2.78
130,1:59:33:151,   15.72,    1.68,    2.39,    1.30,    4.80,    4.22,    1.29
131,1:59:34:161,    6.67,    0.61,    1.11,    0.33,    3.20,    1.97,    0.40
132,1:59:35:167,   28.65,    3.40,    5.08,    2.43,    0.77,    0.96,    2.95
133,1:59:36:169,   27.62,    3.14,    5.27,    1.74,    4.41,    4.80,    2.41
134,1:59:37:173,   34.11,    4.83,    6.26,    3.01,    3.92,    4.67,    3.93
135,1:59:38:174,   16.77,    1.87,    2.94,    1.06,    4.07,    5.82,    1.35
136,1:59:39:179,    5.41,    0.59,    0.74,    0.24,    1.88,    3.10,    0.18
137,1:59:40:184,   22.23,    2.70,    3.40,    1.91,    0.19,    0.65,    2.30
138,1:59:41:189,   25.33,    2.53,    3.20,    1.03,    3.47,    3.51,    1.54
139,1:59:42:190,   26.09,    3.21,    4.29,    1.32,    4.61,    5.93,    1.67
140,1:59:43:197,   24.84,    3.41,    5.60,    1.55,    4.43,    4.99,    1.90
141,1:59:44:198,   22.12,    2.96,    6.70,    0.84,    2.31,    3.92,    1.17
142,1:59:45:206,   27.88,    2.60,    6.30,    1.73,    0.45,    3.13,    2.10
143,1:59:46:210,   24.98,    2.40,    5.57,    1.47,    1.25,    6.44,    1.84
144,1:59:47:215,   22.80,    2.48,    4.81,    1.08,    0.71,    6.18,    1.83
145,1:59:48:220,   23.17,    2.57,    5.36,    1.20,    0.80,    5.38,    1.91
146,1:59:49:226,   20.71,    2.21,    5.40,    0.85,    0.70,    4.77,    1.55
147,1:59:50:229,   17.98,    2.07,    3.83,    1.07,    0.29,    3.85,    1.64
148,1:59:51:236,   20.80,    2.30,    3.24,    1.66,    0.64,    3.92,    1.99
149,1:59:52:240,   11.27,    0.85,    1.41,    0.70,    2.71,    3.89,    0.74
150,1:59:53:249,   23.09,    2.95,    3.71,    2.51,    2.57,    1.46,    2.60
151,1:59:54:253,   12.85,    1.17,    1.65,    0.84,    3.78,    3.62,    1.01
152,1:59:55:261,   15.16,    1.43,    1.98,    1.17,    2.83,    1.67,    1.33
153,1:59:56:266,   21.03,    3.09,    3.28,    2.49,    3.22,    2.08,    2.66
